Wall time,Step,Value
1700620160.4611516,1185,0.6600000262260437
1700620172.4050453,1219,0.7900000214576721
1700620176.021412,1226,0.8199999928474426
1700620183.7321289,1247,0.7599999904632568
1700620185.6679096,1253,0.800000011920929
1700620186.3092804,1255,0.75
1700620187.315353,1258,0.800000011920929
1700620189.0298517,1262,0.7599999904632568
1700620192.130625,1268,0.7799999713897705
1700620194.228722,1272,0.550000011920929
1700620203.9743216,1299,0.8600000143051147
1700620216.3082125,1326,0.5400000214576721
1700620223.012656,1346,0.7799999713897705
1700620231.8661165,1365,0.8399999737739563
1700620235.8552039,1376,0.7799999713897705
1700620236.182237,1377,0.7300000190734863
1700620252.9330022,1418,0.7300000190734863
1700620259.990442,1440,0.7900000214576721
1700620268.633733,1458,0.6200000047683716
1700620269.1678662,1459,0.4000000059604645
1700620282.0305855,1495,0.800000011920929
1700620286.3337696,1503,0.6700000166893005
1700620289.7704191,1511,0.7300000190734863
1700620290.7505274,1514,0.5699999928474426
1700620304.1302652,1549,0.550000011920929
1700620305.700355,1552,0.7699999809265137
1700620310.7794902,1566,0.6200000047683716
1700620311.784028,1569,0.5199999809265137
1700620313.43354,1574,0.8299999833106995
1700620319.8822215,1586,0.7300000190734863
1700620326.2167015,1597,0.6800000071525574
1700620337.6794667,1628,0.6600000262260437
1700620340.8897939,1636,0.6899999976158142
1700620354.8775237,1671,0.8100000023841858
1700620361.0717678,1686,0.7400000095367432
1700620368.3745952,1703,0.6000000238418579
1700620369.0109472,1705,0.6000000238418579
1700620369.9924393,1708,0.6700000166893005
1700620371.3258116,1712,0.7300000190734863
1700620396.8096375,1776,0.7099999785423279
1700620397.872066,1778,0.6000000238418579
1700620403.6745687,1790,0.4099999964237213
1700620426.1066315,1848,0.8199999928474426
1700620430.3969908,1861,0.7599999904632568
1700620433.7021163,1868,0.7699999809265137
1700620446.6178417,1900,0.6600000262260437
1700620447.6006794,1903,0.6700000166893005
1700620449.548526,1909,0.7099999785423279
1700620449.8850527,1910,0.6700000166893005
1700620462.0535033,1937,0.4699999988079071
